Function,Instance,Dimensions,NP,CR,F,MuSt,CRSt,Local Iterations,Workers,Evaluations,Migrations,Global Time,Chromosome,Target,Score,Stop Reason,Restarts
1,1,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,11.086551899999904,(0.252800041318;-1.15679997622;-0.723999936378;1.92639998083),79.48000001,79.48,1,0
1,2,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,11.120748700000036,(-3.8983999606;-2.8903999184;-3.80239995778;3.90560003571),394.48000001,394.48,1,0
1,3,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,12.023652999999968,(-3.79840016798;0.203200009754;-0.691199906655;-3.69119993456),-247.10999999,-247.11,1,0
2,1,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,7.474641600000041,(1.20719922359;0.447999861875;3.55439999055;2.38639999891),-209.87999999,-209.88,1,0
2,2,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,6.449004999999943,(0.725599750454;2.62159995021;0.0903999828987;-1.82639999898),-92.08999999000001,-92.09,1,0
2,3,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,6.327744199999984,(0.239199721484;3.64559973406;1.24959998729;-2.10960000107),-87.88999999,-87.89,1,0
3,1,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,12.285733100000016,(-2.34078367605;2.30001409182;2.21359704573;0.727985937352),-462.08999998999997,-462.089999409,1,0
3,2,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,22.402997300000038,(2.39840000273;-0.856000003325;-1.27200000133;3.3232),77.66000000999999,77.66,1,0
3,3,4,80,0.5,0.6,differenceVector,binomial,150,4,12080,1,13.272041899999977,(-2.17840184837;-0.983203046968;0.244804861649;3.08880273992),115.68000001,115.680000037,1,0
4,1,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,11.56259549999993,(2.34080000011;2.30000000157;2.21359999707;0.727999997873),-462.08999998999997,-462.09,1,0
4,2,4,80,0.5,0.6,differenceVector,binomial,150,4,24080,2,12.369888100000026,(2.39839999755;-0.856000001587;1.27199999905;3.32320000076),77.66000000999999,77.66,1,0
